date,region,season,disaster_type,hazard_level,temperature_c,rainfall_mm,wind_kmh,cyber_incidents,phishing_reports,misinformation_reports,vulnerability_alerts,donation_scam_reports,risk_score,anomaly_flag
07-03-2024,Shepparton,Autumn,None,Low,24.3,8.9,22.3,6,1,3,2,0,24.7,0
08-03-2024,Melbourne Metro,Autumn,Storm,Medium,17,7,40,9,3,4,2,5,53.8,0
09-03-2024,Melbourne Metro,Autumn,None,Low,14.7,9.1,20.3,8,4,4,1,0,30.8,0
10-03-2024,Shepparton,Autumn,None,Low,19.6,9.9,22.7,4,6,4,2,1,30.6,0
11-03-2024,Geelong,Autumn,Flood,Medium,23.1,10.6,39.6,9,10,6,3,5,70.8,0
12-03-2024,Ballarat,Autumn,Storm,Medium,20.5,12.5,46.7,7,7,4,1,2,53.9,0
13-03-2024,Melbourne Metro,Autumn,None,Low,17,4.6,21.6,6,4,1,2,2,29.8,0
14-03-2024,Geelong,Autumn,None,Medium,19.9,1.1,23.3,10,8,3,1,3,50.8,0
15-03-2024,Melbourne Metro,Autumn,Flood,Severe,13.9,25.5,29.7,11,15,7,4,6,100,0
16-03-2024,Bendigo,Autumn,None,Low,27.5,2.7,30.1,5,1,1,0,5,28.5,0
17-03-2024,Ballarat,Autumn,Flood,High,17.3,19,28.3,13,9,3,3,6,84.5,0
18-03-2024,Bendigo,Autumn,None,Low,31.3,0.7,20.3,7,3,3,3,1,29.9,0
19-03-2024,Shepparton,Autumn,None,Medium,17.6,5.3,30.5,6,6,4,3,3,51.9,0
20-03-2024,Ballarat,Autumn,Storm,High,23.4,12.1,25.1,31,18,8,6,10,100,1
21-03-2024,Geelong,Autumn,None,Low,18.4,2.2,23.9,24,11,11,1,7,66.9,1
22-03-2024,Ballarat,Autumn,None,Medium,22.8,0.7,28.7,11,7,3,3,6,63.5,0
23-03-2024,Ballarat,Autumn,None,Medium,21.8,10.5,15.3,9,3,0,7,3,50.7,0
24-03-2024,Geelong,Autumn,Storm,High,23.3,10,17.6,7,5,8,1,4,80.2,0
25-03-2024,Shepparton,Autumn,None,Low,18.6,8.1,25.5,7,7,1,1,1,25.5,0
26-03-2024,Ballarat,Autumn,None,Medium,18.2,4.1,16.8,7,4,1,2,1,46.5,0
27-03-2024,Shepparton,Autumn,None,Low,28.2,2.8,15.2,6,3,2,2,2,24.6,0
28-03-2024,Shepparton,Autumn,None,Low,18.4,6.9,12.4,3,2,0,1,1,20.5,0
29-03-2024,Shepparton,Autumn,Storm,Medium,19,16.7,20.5,7,8,8,2,5,59.2,0
30-03-2024,Melbourne Metro,Autumn,None,Low,21.8,3.6,27.4,5,2,4,4,2,31.7,0
31-03-2024,Gippsland,Autumn,None,Low,22.5,1.7,11.3,4,5,2,3,3,33.7,0
01-04-2024,Shepparton,Autumn,Flood,High,25.6,15.6,39.2,21,21,17,6,9,100,1
02-04-2024,Geelong,Autumn,None,Medium,23.9,1,10.2,10,6,7,5,3,55.9,0
03-04-2024,Gippsland,Autumn,None,Medium,25.1,3.8,33.9,8,5,5,2,5,54.6,0
04-04-2024,Shepparton,Autumn,None,Low,12.2,1.4,20.2,10,3,1,1,2,16.6,0
05-04-2024,Geelong,Autumn,None,Low,24.3,6,33.9,3,7,8,3,3,41.9,0
06-04-2024,Geelong,Autumn,None,Low,20.4,2.3,32.7,3,0,1,0,1,18.9,0
07-04-2024,Bendigo,Autumn,None,Low,23.5,4.6,24.3,14,16,7,2,3,59.7,1
08-04-2024,Bendigo,Autumn,None,Low,12.9,5.7,27.3,5,6,3,5,1,32.5,0
09-04-2024,Ballarat,Autumn,Storm,Medium,21.7,6.9,39.5,14,10,4,9,2,70.7,0
10-04-2024,Shepparton,Autumn,None,Low,21.2,4.3,13.7,3,2,3,3,1,32,0
11-04-2024,Shepparton,Autumn,None,Medium,20.7,7.8,21.5,9,5,3,1,1,45.8,0
12-04-2024,Gippsland,Autumn,Flood,High,25,10.9,24.4,6,10,7,5,7,98.2,0
13-04-2024,Geelong,Autumn,None,Low,11.3,3,18.1,3,5,2,14,2,51.1,1
14-04-2024,Shepparton,Autumn,None,Low,18.5,9.1,17.6,12,7,3,2,2,26.7,0
15-04-2024,Ballarat,Autumn,None,Low,25.6,1.8,25.2,5,5,0,3,1,24.6,0
16-04-2024,Melbourne Metro,Autumn,None,Low,18.3,6.9,31.8,17,13,13,2,6,70.9,1
17-04-2024,Geelong,Autumn,Storm,Medium,22.9,6.8,53.4,6,5,5,4,0,52.1,0
18-04-2024,Melbourne Metro,Autumn,None,Low,25.1,3.7,21.5,10,1,5,0,1,27.7,0
19-04-2024,Ballarat,Autumn,None,Medium,21.2,5.8,12.8,11,1,7,2,3,49.5,0
20-04-2024,Bendigo,Autumn,None,Low,14.2,8.3,9,33,7,5,2,6,48.7,1
21-04-2024,Ballarat,Autumn,None,Low,24,5.7,25,4,2,0,1,2,21.5,0
22-04-2024,Melbourne Metro,Autumn,None,Low,22.6,5,23.5,6,4,1,1,2,30.4,0
23-04-2024,Geelong,Autumn,None,Low,28.4,6.9,20.3,5,3,4,3,0,27.9,0
24-04-2024,Gippsland,Autumn,Flood,High,19.7,16.5,23.3,8,6,7,4,5,87,0
25-04-2024,Shepparton,Autumn,None,Low,25.5,1.4,31.5,9,3,0,4,0,27.5,0
26-04-2024,Ballarat,Autumn,None,Low,25.6,1.4,32.3,3,4,1,2,0,21.2,0
27-04-2024,Geelong,Autumn,None,Low,18.6,1.6,33.3,15,9,9,1,7,54.4,1
28-04-2024,Shepparton,Autumn,Storm,High,17.9,11.1,12,11,9,6,3,4,81,0
29-04-2024,Bendigo,Autumn,None,Medium,20.4,1.9,22.6,4,10,1,2,0,47.5,0
30-04-2024,Bendigo,Autumn,None,Medium,15,0.9,21.7,7,4,0,2,3,39.4,0
01-05-2024,Shepparton,Autumn,None,Medium,24.6,6.1,16.4,4,12,1,3,3,50.3,0
02-05-2024,Bendigo,Autumn,None,Low,25.7,6.1,30.8,4,1,3,0,3,20.6,0
03-05-2024,Geelong,Autumn,None,Low,25.9,7.4,19.4,18,14,6,0,5,48.7,1
04-05-2024,Ballarat,Autumn,Storm,Medium,20.9,10.7,21.7,11,7,6,1,3,54.7,0
05-05-2024,Geelong,Autumn,None,Medium,23.8,4.6,25.3,17,8,1,2,4,43.1,0
06-05-2024,Geelong,Autumn,None,Low,18.1,1.2,17.8,4,2,2,1,0,20.9,0
07-05-2024,Shepparton,Autumn,None,Medium,30.4,5.9,19.8,9,6,6,1,3,51.9,0
08-05-2024,Gippsland,Autumn,None,Low,13.9,8.8,20.2,7,1,3,12,1,45.8,1
09-05-2024,Gippsland,Autumn,None,Low,22.6,2.4,9.6,17,13,10,1,5,62,1
10-05-2024,Ballarat,Autumn,None,Low,24.3,4.7,23.4,4,1,1,1,3,19.2,0
11-05-2024,Shepparton,Autumn,Flood,Medium,26.8,12.4,5,8,7,8,3,6,70.5,0
12-05-2024,Gippsland,Autumn,None,Low,27.4,0.2,23.3,8,4,2,3,1,29.1,0
13-05-2024,Bendigo,Autumn,None,Medium,15.2,6.4,33,8,3,4,5,0,49.3,0
14-05-2024,Gippsland,Autumn,None,Medium,22.9,9,34.5,6,4,2,3,4,47.5,0
15-05-2024,Bendigo,Autumn,None,Medium,31.7,0.8,25.8,7,7,5,5,3,59,0
16-05-2024,Ballarat,Autumn,None,Low,30,1.6,18,9,1,1,1,2,17.6,0
17-05-2024,Geelong,Autumn,None,Low,19.6,6.3,23.2,7,8,3,2,3,37.8,0
18-05-2024,Geelong,Autumn,Storm,High,16.4,5.3,41.9,13,9,6,0,4,77.3,0
19-05-2024,Gippsland,Autumn,None,Low,22.1,10,20.5,19,13,12,1,7,66.5,1
20-05-2024,Bendigo,Autumn,None,Low,25.5,9,14.6,5,3,3,16,1,51.8,1
21-05-2024,Melbourne Metro,Autumn,None,Medium,23.4,4.4,24,4,5,2,1,2,39.1,0
22-05-2024,Melbourne Metro,Autumn,None,Low,21.9,9.1,20.8,5,2,2,3,1,25.6,0
23-05-2024,Melbourne Metro,Autumn,None,Low,19.3,1.8,10.9,5,4,2,3,0,22.2,0
24-05-2024,Geelong,Autumn,None,Low,20.3,5.6,32.5,8,4,3,1,1,25.7,0
25-05-2024,Shepparton,Autumn,None,Low,26.6,2.8,33.3,4,2,2,0,0,20.7,0
26-05-2024,Geelong,Autumn,None,Medium,17.5,4.3,24.6,8,6,5,4,3,61.5,0
27-05-2024,Shepparton,Autumn,None,Low,27.9,7.9,19.3,8,3,4,10,1,52.3,1
28-05-2024,Bendigo,Autumn,None,Medium,21.9,4,13.9,11,6,3,4,1,49.2,0
29-05-2024,Gippsland,Autumn,None,Low,24.1,8.6,15,5,3,2,2,0,29,0
30-05-2024,Melbourne Metro,Autumn,None,Low,21.4,0.3,17.6,8,2,3,4,0,23,0
31-05-2024,Bendigo,Autumn,None,Low,27,1.2,17.5,8,6,3,3,1,30,0
01-06-2024,Bendigo,Winter,None,Low,10.9,7.4,28.5,6,2,2,0,1,23.8,0
02-06-2024,Gippsland,Winter,None,Low,13.9,7.7,33.4,3,2,1,2,2,28.4,0
03-06-2024,Bendigo,Winter,None,Low,6.8,4.4,11.7,10,2,2,2,1,23.1,0
04-06-2024,Gippsland,Winter,Flood,Severe,0.9,24.7,11.4,10,9,7,8,5,100,0
05-06-2024,Ballarat,Winter,None,Medium,16.3,10.6,7,12,7,3,2,4,51.9,0
06-06-2024,Gippsland,Winter,None,Low,10.2,0.4,16,7,1,0,1,2,25.5,0
07-06-2024,Melbourne Metro,Winter,None,Medium,21.3,6.7,6.7,7,10,1,2,2,52.9,0
08-06-2024,Shepparton,Winter,None,High,13.7,11.2,34.5,12,6,3,2,2,64.6,0
09-06-2024,Shepparton,Winter,Flood,High,12.3,18.4,20.5,14,5,9,4,6,86.8,0
10-06-2024,Melbourne Metro,Winter,None,Low,12,4.9,21.9,4,5,3,2,2,32.2,0
11-06-2024,Shepparton,Winter,None,Medium,14.9,1.1,19.3,5,6,4,1,2,46.4,0
12-06-2024,Gippsland,Winter,None,Low,16,7.7,18.4,7,5,3,3,1,30.1,0
13-06-2024,Ballarat,Winter,Flood,High,13.6,24.8,5,9,9,8,3,6,89,0
14-06-2024,Shepparton,Winter,Storm,Medium,6.8,15.5,16.7,11,3,7,1,0,50.4,0
15-06-2024,Ballarat,Winter,None,Low,17.8,3.2,7.8,8,2,4,4,2,34.7,0
16-06-2024,Melbourne Metro,Winter,Flood,High,7.3,32.8,22.6,13,8,13,4,6,96.9,0
17-06-2024,Ballarat,Winter,None,Low,21.7,5.8,21.8,5,2,0,3,1,27.5,0
18-06-2024,Bendigo,Winter,Flood,Medium,11.1,12.7,19.9,10,6,6,4,2,62.9,0
19-06-2024,Geelong,Winter,None,Low,7.8,1.8,20.3,1,3,2,4,0,30.4,0
20-06-2024,Bendigo,Winter,Storm,Medium,12.7,4,38.3,8,7,0,2,2,50.1,0
21-06-2024,Melbourne Metro,Winter,None,Low,12.4,1.1,20.9,4,3,0,1,2,24.2,0
22-06-2024,Shepparton,Winter,None,Low,10.4,6.3,33.2,4,6,1,2,1,32,0
23-06-2024,Shepparton,Winter,None,Low,18.2,8.4,21.1,6,4,0,3,1,27.2,0
24-06-2024,Ballarat,Winter,None,Low,15.2,0,22.9,2,3,1,4,2,27.2,0
25-06-2024,Gippsland,Winter,None,Medium,9.2,6.1,14.8,6,8,2,0,1,47.3,0
26-06-2024,Geelong,Winter,None,Medium,14.6,4.3,21,11,5,3,2,1,48,0
27-06-2024,Gippsland,Winter,None,Medium,13.2,8,9.7,7,7,2,4,1,44.6,0
28-06-2024,Melbourne Metro,Winter,Storm,High,15.4,10.5,21.4,11,3,5,0,4,70.3,0
29-06-2024,Shepparton,Winter,None,Low,15.6,1.5,5.4,5,3,3,2,3,32.7,0
30-06-2024,Ballarat,Winter,None,Low,23,8.7,20.4,6,2,2,2,0,17.6,0
01-07-2024,Shepparton,Winter,None,Low,12.6,7,20.5,7,3,1,2,0,21.9,0
02-07-2024,Gippsland,Winter,None,Low,12.8,7.6,34,25,10,4,5,5,51.7,1
03-07-2024,Gippsland,Winter,None,Low,15.2,6.6,34.3,7,2,3,9,0,36.7,1
04-07-2024,Geelong,Winter,None,Low,16.3,6.7,34.4,2,2,1,2,1,24.3,0
05-07-2024,Geelong,Winter,None,Medium,15.1,0.8,21.3,28,13,13,2,5,81.4,1
06-07-2024,Ballarat,Winter,None,Low,8.8,0.6,9.2,5,0,1,11,0,40.5,1
07-07-2024,Geelong,Winter,None,Medium,17.3,1.3,20.7,14,5,2,13,3,66.8,1
08-07-2024,Gippsland,Winter,None,Low,18.5,0.4,12.4,27,10,11,2,6,64.8,1
09-07-2024,Gippsland,Winter,None,Low,9.4,4.2,16.4,6,3,1,4,2,20.5,0
10-07-2024,Melbourne Metro,Winter,None,Low,6,0.6,28.4,6,6,2,2,1,30,0
11-07-2024,Gippsland,Winter,None,Low,5.4,3.3,5,19,14,10,3,4,66.3,1
12-07-2024,Ballarat,Winter,None,Low,6.5,7.5,20.8,5,1,1,4,3,29.7,0
13-07-2024,Bendigo,Winter,None,Low,7.9,3.9,19.2,6,9,1,3,0,28.1,0
14-07-2024,Melbourne Metro,Winter,Flood,Medium,5,11.6,32.4,6,2,6,6,3,66.7,0
15-07-2024,Melbourne Metro,Winter,Flood,Medium,11.3,12.9,21,10,7,6,2,4,66.4,0
16-07-2024,Ballarat,Winter,None,Medium,14,2.9,8.8,7,7,5,2,1,52.8,0
17-07-2024,Ballarat,Winter,None,Low,15.1,8.1,15.9,7,5,3,2,3,36,0
18-07-2024,Geelong,Winter,None,Low,12.2,8.2,25.3,5,2,2,4,0,24.7,0
19-07-2024,Melbourne Metro,Winter,None,Low,16.1,8.6,27.7,6,3,4,4,2,40.4,0
20-07-2024,Geelong,Winter,None,Medium,15.4,11.7,12.2,5,5,6,2,2,51.5,0
21-07-2024,Gippsland,Winter,None,Low,17.8,0.9,14.4,1,5,1,4,2,30.7,0
22-07-2024,Melbourne Metro,Winter,None,Medium,7.9,13.8,12.8,13,5,1,2,3,45.7,0
23-07-2024,Melbourne Metro,Winter,None,Medium,19.1,4.5,16,11,5,4,1,2,51.4,0
24-07-2024,Shepparton,Winter,None,Low,6.8,9.3,18,6,4,3,2,1,27.1,0
25-07-2024,Bendigo,Winter,None,Medium,8,6.5,10.5,6,3,2,4,2,49.2,0
26-07-2024,Melbourne Metro,Winter,None,Low,12.1,1.4,34.1,4,4,1,3,1,26.6,0
27-07-2024,Gippsland,Winter,Flood,Severe,13.5,19.3,23.1,13,9,13,4,5,100,0
28-07-2024,Geelong,Winter,None,Low,16.5,2.1,5,5,4,3,2,0,25.6,0
29-07-2024,Geelong,Winter,None,Low,16.6,6.4,8.9,8,2,2,3,1,25,0
30-07-2024,Shepparton,Winter,None,Low,18.6,2.3,23.3,3,5,5,2,1,31.4,0
31-07-2024,Bendigo,Winter,Flood,High,8.3,25.2,11.3,12,8,6,3,2,75.7,0
01-08-2024,Gippsland,Winter,None,Medium,15.9,9.5,17.4,10,5,5,5,2,57.9,0
02-08-2024,Geelong,Winter,None,Medium,16.5,4.8,8.3,10,6,5,4,1,47,0
03-08-2024,Ballarat,Winter,Flood,High,18.6,33.3,20.4,11,9,7,7,7,88.4,0
04-08-2024,Gippsland,Winter,None,Medium,15.3,3.7,30.2,6,7,2,1,1,45,0
05-08-2024,Gippsland,Winter,None,Medium,11.1,1.7,9.1,5,4,4,3,1,44,0
06-08-2024,Bendigo,Winter,None,Low,12.8,1.6,12.8,5,3,2,1,3,28.9,0
07-08-2024,Geelong,Winter,None,Low,11.4,7.4,25.6,7,6,2,3,0,27.3,0
08-08-2024,Gippsland,Winter,None,Low,15.1,3.3,23,9,2,0,2,0,23.6,0
09-08-2024,Shepparton,Winter,None,Medium,13.1,8,14.8,6,4,3,4,3,49.5,0
10-08-2024,Shepparton,Winter,None,Low,5.2,9,21.9,5,4,1,0,1,21.9,0
11-08-2024,Geelong,Winter,None,Low,14.4,2.5,22.9,6,6,2,2,2,28.2,0
12-08-2024,Shepparton,Winter,Flood,High,13.2,14.7,36.7,10,9,5,5,6,88.5,0
13-08-2024,Ballarat,Winter,None,Low,18,8.9,26,30,8,7,2,3,47.7,1
14-08-2024,Bendigo,Winter,None,Low,16,3.8,19,9,4,1,2,1,28.4,0
15-08-2024,Shepparton,Winter,None,Low,14.9,7.7,12,6,4,2,3,2,36.1,0
16-08-2024,Shepparton,Winter,None,Medium,6.7,15.2,12.5,10,10,2,0,2,47.5,0
17-08-2024,Ballarat,Winter,Flood,High,13.6,25,26.9,13,8,11,3,5,85.8,0
18-08-2024,Bendigo,Winter,None,Low,11.6,9.8,21.5,7,1,3,1,1,25.7,0
19-08-2024,Gippsland,Winter,Flood,High,12.4,11.7,26,16,6,6,4,5,84,0
20-08-2024,Bendigo,Winter,None,Medium,6.6,4.1,24.4,8,5,1,5,1,46.5,0
21-08-2024,Melbourne Metro,Winter,None,Low,15.5,5.2,30.6,3,3,0,0,2,29.9,0
22-08-2024,Geelong,Winter,Flood,Medium,11.2,10.7,18.7,13,5,6,5,1,59.5,0
23-08-2024,Geelong,Winter,None,Low,12.8,0.5,8.6,2,0,3,14,0,42.5,1
24-08-2024,Melbourne Metro,Winter,None,Low,17.3,0.9,19.7,6,6,0,4,1,29.1,0
25-08-2024,Ballarat,Winter,Storm,High,12.4,20.4,11.1,14,11,4,1,3,72.5,0
26-08-2024,Melbourne Metro,Winter,Flood,Medium,21.2,12.3,25,13,5,2,3,6,64.7,0
27-08-2024,Gippsland,Winter,None,Low,17.2,1.5,24.6,8,3,1,1,2,25.9,0
28-08-2024,Gippsland,Winter,None,Low,17,3.4,13,5,4,6,0,3,35.4,0
29-08-2024,Geelong,Winter,None,Low,12.1,0.7,12.2,8,4,2,1,1,25.8,0
30-08-2024,Gippsland,Winter,None,Medium,20.1,8.9,29.9,9,5,7,3,1,51.1,0
31-08-2024,Geelong,Winter,None,High,9.4,14.9,30.6,8,6,6,2,3,71.8,0
01-09-2024,Melbourne Metro,Spring,None,Medium,22.2,1.4,24,8,6,4,1,1,54.1,0
02-09-2024,Melbourne Metro,Spring,None,Low,19.1,6,14.1,4,5,2,4,5,32.7,0
03-09-2024,Shepparton,Spring,None,Medium,16.9,2.5,26.4,4,4,1,0,3,37.9,0
04-09-2024,Shepparton,Spring,None,Low,17.8,5.3,28.8,4,2,3,2,2,30,0
05-09-2024,Melbourne Metro,Spring,None,Low,14.7,7,26.5,5,6,5,0,1,27.9,0
06-09-2024,Geelong,Spring,None,Low,25.1,7.1,30,7,1,1,2,3,27.6,0
07-09-2024,Melbourne Metro,Spring,None,Low,14.7,4,11.5,4,1,1,2,3,22.7,0
08-09-2024,Melbourne Metro,Spring,None,Low,22.3,3.6,20.7,8,4,1,1,1,28.5,0
09-09-2024,Ballarat,Spring,Storm,High,24.1,10.7,28.8,14,9,4,8,5,86,0
10-09-2024,Melbourne Metro,Spring,None,Medium,18.9,0.5,19.5,28,12,14,6,9,88.8,1
11-09-2024,Gippsland,Spring,Flood,Medium,23,11.8,19.8,4,3,8,7,6,73.9,0
12-09-2024,Geelong,Spring,None,Medium,11.8,4.3,23.7,8,4,5,6,3,51.7,0
13-09-2024,Ballarat,Spring,None,Low,10.7,9.6,30.5,6,3,1,2,1,20.9,0
14-09-2024,Shepparton,Spring,None,Medium,16.2,3.6,21.1,7,4,6,2,2,51.7,0
15-09-2024,Bendigo,Spring,None,Medium,28.3,5.6,26.2,14,7,7,5,1,62.5,0
16-09-2024,Geelong,Spring,Storm,Medium,21,1.6,47.7,14,2,1,1,3,47.9,0
17-09-2024,Gippsland,Spring,None,Low,24.3,8.8,27.2,7,9,2,1,2,36.5,0
18-09-2024,Geelong,Spring,None,Low,18.2,1.7,20,20,13,6,2,3,52,1
19-09-2024,Shepparton,Spring,Flood,Medium,18.9,12.1,38.8,8,3,5,2,4,59.7,0
20-09-2024,Gippsland,Spring,None,Low,19.5,0.8,32.2,3,4,3,8,2,52.5,1
21-09-2024,Gippsland,Spring,None,Medium,30.2,5.2,24.8,7,5,1,6,4,50.9,0
22-09-2024,Bendigo,Spring,None,Low,17.8,2.5,27.3,6,3,1,1,1,18.9,0
23-09-2024,Geelong,Spring,None,Low,19.2,5.2,36.9,8,5,2,2,0,32.3,0
24-09-2024,Bendigo,Spring,None,Low,16.4,3,36.8,27,7,9,4,3,58.8,1
25-09-2024,Bendigo,Spring,Flood,Medium,21,15.5,25.9,18,12,11,6,12,96.9,1
26-09-2024,Geelong,Spring,None,Low,19.4,3.6,23.6,6,5,3,2,1,34.1,0
27-09-2024,Melbourne Metro,Spring,None,Low,19.1,8,19.5,9,4,2,2,4,31.8,0
28-09-2024,Melbourne Metro,Spring,None,Medium,23.9,2.2,21.7,8,6,2,5,2,48,0
29-09-2024,Shepparton,Spring,None,Medium,18.7,10.4,22.1,12,7,4,2,5,58.3,0
